ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Lindia-candida	Lindia		candida		Harring & Myers 1922	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 20: p.614, pl.54, figs.10-14; no deposited types known [valid as Lindia candida; name declinable]
Cephalosiphon-candidus	Cephalosiphon		candidus		Hudson 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.1, p.79; no deposited types known [junior subjective synonym of Beauchampia crucigera (Dutrochet, 1812); name declinable]
Brachionus-capsuliflorus	Brachionus		capsuliflorus		Pallas 1766	in Pallas, P S, Elenchus zoophytorum sistens generum adumbrationes generaliores et specierum cognitarum succinctas descriptiones, cum selectis auctorum synonymis: p.91; no deposited types known [invalid senior subjective synonym of Brachionus quadridentatus Hermann, 1783; name declinable]
Mastigocerca-capucina	Mastigocerca		capucina		Wierzejski & Zacharias 1893	Zeitschrift für wissenschaftliche Zoologie, 56: p.242, pl.13, figs.11-13; no deposited types known [valid as Trichocerca capucina; name declinable]
Dicranophorus-capucinoides	Dicranophorus		capucinoides		Wiszniewski 1932	Archiwum Hydrobiologii i Rybactwa, 6: p.91, pl.3, figs.3-5; no deposited types known [junior subjective synonym of Dicranophorus capucinus Harring & Myers, 1928; name indeclinable]
Dicranophorus-capucinus	Dicranophorus		capucinus		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.724, pl.31, figs.4-6; no deposited types known [valid as Dicranophorus capucinus; name declinable]
Erignatha-capula	Erignatha		capula		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.754, pl.38, figs.3-4; no deposited types known [valid as Erignatha capula; name indeclinable] caratum, Encentrum, Myers 1933; American Museum Novitates, 660: p.16, fig.10; no deposited types known [valid as Encentrum caratum; name indeclinable]
Cephalodella-carina	Cephalodella		carina		Wulfert 1959	Decheniana, Beihefte, 7: p.60, fig.11; no deposited types known [valid as Cephalodella carina; name indeclinable]
Dapidia-carinata	Dapidia		carinata		Carlin-Nilsson 1934	Arkiv för Zoologi, 26: p.6, fig.2; no deposited types known [junior subjective synonym of Euchlanis triquetra Ehrenberg, 1838; name declinable]
Keratella-carinata	Keratella		carinata		Russell 1950	Transactions of the Royal Society of New Zealand, 78: p.162, figs.1,2; holotype: CMNZ, no cat. nr. indicated [junior subjective synonym of Keratella javana Hauer, 1937; name declinable]
Lepadella-rhomboides-carinata	Lepadella		rhomboides	carinata	Donner 1943	Zoologischer Anzeiger, 143: p.175; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Mastigocerca-carinata	Mastigocerca		carinata		Ehrenberg 1830	in Ehrenberg, C G, Organisation, Systematik und geographisches Verhältnis der Infusionsthierchen. Zwei Vorträge in der Akademie der Wissenschaften zu Berlin gehalten in den Jahren 1828 [Die geographische Verbreitung der Infusionsthierchen in Nord-Afrika und West-Asien, beobachtet auf Hemprich und Ehrenbergs Reisen] und 1830 [Beiträge zur Kenntnis der Organisation der Infusorien und ihrer geographischen Verbreitung, besonders in Sibirien]: p.66; no deposited types known [type species of genus Mastigocerca Ehrenberg, 1830; preoccupied as Trichocerca carinata (Ehrenberg, 1830) non (Lamarck, 1816), replaced by Trichocerca cristata Harring, 1913; junior subjective synonym of Trichocerca rattus (Müller, 1776); name declinable]
Rattulus-carinatus	Rattulus		carinatus		Lamarck 1816	in Lamarck, J B P A, Histoire naturelle des animaux sans vertèbres présentant les caractéres généraux et particuliers de ces animaux, leur distribution, leurs classes, leurs familles, leurs genres, et la citation des principales espèces qui s'y rapportent précédée d'une introduction offrant la détermination des caractères essentiels de l'animal, sa distinction du végétal et des autres corps naturels, enfin, l'exposition des principes fondamentaux de la Zoologie. Tome Second: p.24; no deposited types known [type species of genus Rattulus Lamarck, 1816; unnecessary substitute name for Trichoda rattus Müller, 1776; name declinable]
Encentrum-carlini	Encentrum		carlini		Myers 1940	Notulae Naturae of the Academy of Natural Sciences of Philadelphia, 51: p.2, pl.1, fig.8, pl.2, fig.9; syntype: ANSP 0842 [valid as Encentrum carlini; name indeclinable]
Testudinella-carlini	Testudinella		carlini		Bartoš 1951	Hydrobiologia, 3: p.249, fig.2a-e; no deposited types known [valid as Testudinella carlini; name indeclinable]
Didymodactylos-carnosus	Didymodactylos		carnosus		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.56, pl.2, fig.2; no deposited types known [type species of genus Didymodactylos Milne, 1916; valid as Didymodactylos carnosus; name declinable]
Eothinia-carogaensis	Eothinia		carogaensis		Myers 1937	American Museum Novitates, 903: p.9, figs.3,6,9,10; syntype: AMNH 878 [valid as Eothinia carogaensis; name declinable]
Mytilina-carpatica	Mytilina		carpatica		Varga 1962	Állattani Közlemények, 49: p.147, fig.7; no deposited types known [valid as Mytilina carpatica; name declinable]
Rattulus-caspicus	Rattulus		caspicus		Tschugunoff 1921	Raboty Volzhskoj Biologicheskoj Stancii, Saratov, 6: p.159, pl.1, figs.2,3; no deposited types known [valid as Trichocerca caspica; name declinable]
Callidina-cataracta	Callidina		cataracta		Lord 1898	Journal of the Quekett Microscopical Club, (ser. 2) 7: p.77, pl.7, fig.2; no deposited types known [junior subjective synonym of Pleuretra brycei (Weber, 1898); name indeclinable]
Cercaria-catellina	Cercaria		catellina		Müller 1786	in Müller, O F, Animalcula infusoria fluviatilia et marina, quæ detexit, systematice descripsit et ad vivum delineari curavit: p.130, figs.12,13; no deposited types known [type species of genera Cephalodella Bory de St. Vincent, 1826 and Diglena Ehrenberg, 1830; valid as Cephalodella catellina; name declinable]
Albertia-caudata	Albertia		caudata		Manfredi 1927	Bollettino di pesca, di piscicoltura e di idrobiologia / Supplemento memorie scientifiche, 1: p.19, fig.6; no deposited types known [junior subjective synonym of Albertia naidis Bousfield, 1886; name declinable]
Diglena-caudata	Diglena		caudata		Ehrenberg 1834	Physikalische Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin: p.205; no deposited types known [type species of genus Dicranophoroides De Smet, 1997; valid as Dicranophoroides caudatus; name declinable]
Dinocharis-tetractis-caudata	Dinocharis		tetractis	caudata	Lucks 1909	Bericht des Westpreussischen Botanisch- Zoologischen Vereins, 31: p.140; no deposited types known [valid as Trichotria tetractis caudata; name declinable]
Habrotrocha-caudata	Habrotrocha		caudata		Murray 1911	Journal of the Royal Microscopical Society, 31: p.10, pl.1, fig.1; no deposited types known [valid as Habrotrocha caudata; name declinable]
Keratella-lenzi-caudata	Keratella		lenzi	caudata	Koste 1972	Amazoniana, 3: p.382, pl.23, fig.2a; no deposited types known [junior subjective synonym of Keratella americana Carlin, 1943; name declinable]
Lepadella-monodactyla-caudata	Lepadella		monodactyla	caudata	Koste 1972	Amazoniana, 3: p.405, pl.36, fig.1b; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Monommata-caudata	Monommata		caudata		Myers 1930	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 25: p.392, pl.26, figs.1-3; no deposited types known [valid as Monommata caudata; name declinable]
Notholca-caudata	Notholca		caudata		Carlin 1943	Meddelanden Lunds Universitets Limnologiska Institution, 5: p.70, fig.10a,b,d,e; no deposited types known [valid as Notholca caudata; name declinable]
Notommata-caudata	Notommata		caudata		Collins 1872	Science Gossip, London, 8: p.11, fig.8; no deposited types known [type species of genus Proalinopsis Weber, 1918; valid as Proalinopsis caudata; name declinable]
Proales-caudata	Proales		caudata		Bilfinger 1894	Jahreshefte des Vereins für vaterländische Naturkunde in Württemberg, 50: p.46, pl.2, figs.3,4; no deposited types known [type species of genus Dorystoma Harring & Myers, 1922; valid as Dorystoma caudatum; name declinable]
Mniobia-caudatula	Mniobia		caudatula		Bartoš 1938	Sborník Klubu přírodovědeckého v Brně, 20: p.5,10, fig.3; no deposited types known [junior subjective synonym of Mniobia incrassata (Murray, 1905); name declinable]
Brachionus-caudatus	Brachionus		caudatus		Barrois & Daday 1894	Revue Biologique du Nord de la France, 6: p.405, pl.5, figs.10, 13; no deposited types known [valid as Brachionus caudatus; name declinable]
Colurus-caudatus	Colurus		caudatus		Ehrenberg 1834	Physikalische Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin: p.202; no deposited types known [junior subjective synonym of Colurella adriatica Ehrenberg, 1831; name declinable]
Henoceros-caudatus	Henoceros		caudatus		Hauer 1937	Archiv für Hydrobiologie, Supplement, 15: p.358, fig.4; no deposited types known [valid as Henoceros caudatus; name declinable]
Lacinularia-causeyae	Lacinularia		causeyae		Vidrine, McLaughlin & Willis 1985	Freshwater Invertebrate Biology, 4: p.188, fig.3; syntypes: USNM 98939, 98940 [type species of genus Conochilopsis Segers & Wallace, 2001; valid as Conochilopsis causeyae; name indeclinable]
Coelopus-cavia	Coelopus		cavia		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel-animalcules, both British and foreign: v.2, p.69, pl.20, fig.22; no deposited types known [valid as Trichocerca cavia; name indeclinable]
Itura-cayuga	Itura		cayuga		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.688, pl.23, fig.5; no deposited types known [junior subjective synonym of Itura aurita (Ehrenberg, 1830); name indeclinable]
Synchaeta-cecilia	Synchaeta		cecilia		Rousselet 1902	Journal of the Royal Microscopical Society, 22: p.406, pl.7, fig.16; no deposited types known [valid as Synchaeta cecilia; name indeclinable]
Cephalodella-celeris	Cephalodella		celeris		Myers 1937	American Museum Novitates, 903: p.13, fig.14; syntype: AMNH 700 [valid as Cephalodella celeris; name declinable]
Notommata-centrura	Notommata		centrura		Ehrenberg 1834	Physikalische Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin: p.211, pl.9, fig.1; no deposited types known [junior subjective synonym of Notommata copeus Ehrenberg, 1834; name indeclinable]
Ptygura-cephaloceros	Ptygura		cephaloceros		Wright 1957	Transactions of the Norfolk and Norwich Naturalist's Society, 18: p.16, pl.3; no deposited types known [junior subjective synonym of Ptygura stygis (Gosse, 1886); name indeclinable]
Melicerta-cephalosiphon	Melicerta		cephalosiphon		Gosse 1862	The Popular science review, London, 1: p.490; no deposited types known [junior subjective synonym of Beauchampia crucigera (Dutrochet, 1812); name indeclinable]
Limnias-ceratophylli	Limnias		ceratophylli		Schrank 1803	in Schrank, F, Fauna Boica. Durchgedachte Geschichte der in Baiern einheimischen und zahmen Thiere. Dritten und lezten Bandes zweyte Abtheilung: p.311; no deposited types known [type species of genus Limnias Schrank, 1803; valid as Limnias ceratophylli; name indeclinable]
Copeus-cerberus	Copeus		cerberus		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.34, pl.16, fig.3; no deposited types known [valid as Notommata cerberus; name indeclinable]
Dicranophorus-cernuus	Dicranophorus		cernuus		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.740, pl.37, figs.1-3; no deposited types known [junior subjective synonym of Dicranophorus rostratus (Dixon-Nuttall & Freeman, 1902); name declinable]
Lecane-ceylonensis	Lecane		ceylonensis		Chengalath & Fernando 1973	Bulletin of the Fisheries Research Station of Sri Lanka (Ceylon), 24: p.15, figs.1,2; no deposited types known [junior subjective synonym of Lecane hornemanni (Ehrenberg, 1834); name declinable]
Asplanchna-brightwellii-ceylonica	Asplanchna		brightwellii	ceylonica	Daday 1898	Természetrajzi Füzetek kiadja a Magyar nemzeti Múzeum, 21: p.10, fig.1; no deposited types known [junior subjective synonym of Asplanchna girodi Guerne, 1888; name declinable]
Salpina-macracantha-ceylonica	Salpina		macracantha	ceylonica	Daday 1898	Természetrajzi Füzetek kiadja a Magyar nemzeti Múzeum, 21: p.13, fig.2; no deposited types known [junior subjective synonym of Mytilina ventralis (Ehrenberg, 1830); name declinable]
Pleurotrocha-chalicodes	Pleurotrocha		chalicodes		Myers 1933	American Museum Novitates, 660: p.3, fig.2; no deposited types known [valid as Pleurata chalicodes; name indeclinable]
Itura-chamadis	Itura		chamadis		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.694, pl.24, figs.3-5; no deposited types known [valid as Itura chamadis; name indeclinable]
Lecane-chankensis	Lecane		chankensis		Bogoslovsky 1958	Zoologicheskij Zhurnal, 37: p.623, fig.2; holotype: MSU-BL no cat. nr. indicates [junior subjective synonym of Lecane curvicornis (Murray, 1913); name declinable]
Pleurotrocha-channa	Pleurotrocha		channa		Myers 1933	American Museum Novitates, 660: p.5, fig.3; no deposited types known [valid as Pleurotrocha channa; name indeclinable]
Brachionus-charini	Brachionus		charini		Kutikova, Kosova & Khodorevsky 1976	Zoologicheskij Zhurnal, 55: p.763, figs.1,2; no deposited types known [valid as Brachionus charini; name indeclinable]
Anomopus-chasmagnathi	Anomopus		chasmagnathi		Mane-Garzon & Montero 1973	Revista de Biologia del Uruguay, 1: p.140, figs.1-4; no deposited types known [valid as Anomopus chasmagnathi; name indeclinable]
Rattulus-cylindricus-chattoni	Rattulus		cylindricus	chattoni	Beauchamp 1907	Bulletin de la Société Zoologique de France, 32: p.154, fig.3; no deposited types known [valid as Trichocerca chattoni; name indeclinable]
Brachionus-chavesi	Brachionus		chavesi		Barrois 1896	Société des sciences, de l'agriculture et des arts de Lille (Mem. Soc. Sci. Agr., Arts, Lille), (ser. 5) 6: p.124, figs.5,6; no deposited types known [junior subjective synonym of Brachionus urceolaris Müller, 1773; name indeclinable]
Brachionus-chelonis	Brachionus		chelonis		Ahlstrom 1940	Bulletin of the American Museum of Natural History, 77: p.155, pl.5, figs.14-15; syntypes: AMNH 1058 [valid as Brachionus chelonis; name declinable]
Lepadella-chengalathi	Lepadella		chengalathi		Koste & Shiel 1980	Transactions of the Royal Society of South Australia, 104: p.138, fig.7; holotype: ZMK Rot.No.21 [valid as Lepadella chengalathi; name indeclinable]
Notommata-cherada	Notommata		cherada		Myers 1938	American Museum Novitates, 1011: p.6, figs.3,5,8,12,17,18,21; syntypes: AMNH 952.1, 952.2, ANSP 0301 [valid as Notommata cherada; name indeclinable]
Philodina-childi	Philodina		childi		Milne 1916	Journal of the Quekett Microscopical Club, (ser. 2) 13: p.65, pl.3, fig.4; no deposited types known [valid as Philodina childi; name indeclinable]
Brachionus-chilensis	Brachionus		chilensis		Schmarda 1859	in Schmarda, L K, Neue Turbellarien, Rotatorien und Anneliden beobachtet und gesammelt auf einer Reise um die Erde 1853 bis 1857. Erste Hälfte: p.64, pl.15, fig.136; no deposited types known [junior subjective synonym of Brachionus quadridentatus Hermann, 1783; name declinable]
Lecane-chinesensis	Lecane		chinesensis		Zhuge & Koste 1996	Internationale Revue der gesamten Hydrobiologie, 81: p.607, fig.2; holotype: IHB-CAS Rot.013 [valid as Lecane chinesensis; name declinable]
Stephanops-chlaena	Stephanops		chlaena		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.76, pl.21, fig.9; no deposited types known [valid as Mikrocodides chlaena; name indeclinable]
Aspelta-chorista	Aspelta		chorista		Myers 1942	Proceedings of the Academy of Natural Sciences of Philadelphia, 94: p.275, pl.23, figs.4,6; holotype: ANSP 0965 [valid as Aspelta chorista; name indeclinable]
